Wiped at: 2017-12-16 04:21:21
person,Average Test Distance,average y test distance,average x test distance,average left eye y test distance,average left eye x test distance,average right eye y test distance,average right eye x test distance,average webGazer Distance,average y webGazer Distance,average x webGazer Distance,training time,training size,testing size
Session Time Stamp: 2017-12-16 04:22:25
Session Time Stamp: 2017-12-16 04:27:45
1,0.18859116411880666,0.10584662763618066,0.12751276739540376,0.12143995419942907,0.14038790722510644,0.10862464548387964,0.11506058797905487,0.22735327452113996,0.16643288037793294,0.1328180559559741,41.58120608329773,4740,117
12,0.21678260548808373,0.1565224933010355,0.12030016244579182,0.17575896289009524,0.12838304356662367,0.15073741428858164,0.11417648082893646,0.26183349534175016,0.17042594787487306,0.1629009804710569,24.639314889907837,2844,398
13,0.15971510256916643,0.12385439007592045,0.08039580482689321,0.16296244643040395,0.09076737359742094,0.10262626644812133,0.07159995346477158,0.23333297803068065,0.1688549516242194,0.13728449038534202,26.34735107421875,2941,156
14,0.17430883692248705,0.11925207318610422,0.1057899990710505,0.15255153680881184,0.11707770744866255,0.12128078291237715,0.0971703425837463,0.298900515653958,0.19457916235286699,0.18583203165808235,31.86080503463745,3599,499
17,0.21753270956960757,0.16524332113632031,0.11305140544221542,0.1891350719444663,0.12062471378509615,0.1521676158103464,0.10742110404345531,0.252820357707972,0.1821635716902929,0.14109406273955713,26.02915596961975,2935,718
18,0.15275101228838653,0.10786118809483014,0.08976728173911397,0.13372287299716845,0.09988748652176582,0.09375946351792663,0.08171005494659767,0.2306402652393086,0.15238873076353532,0.13878574947678624,30.83071804046631,3621,134
19,0.22661164929746952,0.18219082154990995,0.09801532956155236,0.20257758523940164,0.10457558927181013,0.17031377826214714,0.09468124860431999,0.25833070767290633,0.18146993612753687,0.14818316716540997,19.390812158584595,2261,681
20,0.20586139819379443,0.16467159473104404,0.09184762848955062,0.18794080672733898,0.10041197714680392,0.149411309344901,0.08712360457025675,0.2626594483515366,0.1947247799414349,0.14085385081435858,22.47869610786438,2426,721
23,0.13954582488647568,0.08547675552674466,0.09953515705678405,0.13555479142814875,0.11066530413356507,0.06479766012893783,0.08840500998000304,0.26664233804840626,0.18218557431259091,0.1565564353100921,33.07778286933899,3737,72
25,0.1398739023292692,0.10193925989525658,0.08453678320802283,0.13167611775653704,0.1020513238327112,0.07655103025691849,0.06969559019697565,0.2566111088251282,0.1905011003428981,0.13201018142932472,28.370327949523926,3103,59
33,0.3986032271587183,0.33303297174373464,0.18785650609436655,0.34033290098511404,0.17690823807741604,0.3257538758278374,0.20169389440167335,0.3193254378037978,0.18943942241123665,0.22372084395253972,5.2579569816589355,525,248
34,0.17822956027958156,0.1273417893745419,0.09932627237220812,0.16007815565293035,0.09338940738234669,0.10472763536704911,0.10548947027160062,0.35276924530395265,0.24879477705794997,0.2137368996077171,32.09786105155945,3488,74
37,0.12876510591479967,0.09499008266289753,0.07054873883747927,0.1276905657723546,0.08374014397095716,0.12904654645050564,0.06384307742808704,0.26539950612121205,0.177512633787284,0.1583127802618133,23.718024015426636,2468,438
38,0.26466383765854845,0.26259582093916833,0.031536262526060455,0.25579756312072277,0.03376105791539885,0.2693940787576139,0.07863563485443592,0.37110940114912294,0.2102949766483572,0.25365397750898,1.2466168403625488,37,8
41,0.18624750085839742,0.14404276337282843,0.08798683672349024,0.16777537087909877,0.0966156383510679,0.13150154599262512,0.08168310063945897,0.22167368822307032,0.15167942818208577,0.132599635744084,27.41587996482849,2952,275
45,0.2030878402151777,0.15307880416906125,0.10558126086227616,0.17688729073651296,0.11383425374305975,0.1406036671845698,0.09994659606675557,0.27120130738274867,0.18301394657730474,0.16481494689629694,27.038898944854736,3024,1118
48,0.3343005747692071,0.2557426580460742,0.17972469495725818,0.2420432681683451,0.15629848052049056,0.26944204792380333,0.20856953551992774,0.3534777800954537,0.25486706807329834,0.20602495738292215,1.5749340057373047,92,16
50,0.19454578645464432,0.1489664160085804,0.08796765974767944,0.16986176781166268,0.09512630660367218,0.13969537311670732,0.08414834197990749,0.28407619563635067,0.20078310074548647,0.16660910364198964,23.477937936782837,2490,393
51,0.14967522435795083,0.10829489878545116,0.08993587044200727,0.1391821723331564,0.12206186759950859,0.09447342410151448,0.062231629488191435,0.28579322509548116,0.1673177625159437,0.1996396930651769,26.13816809654236,2942,230
52,0.1945593867214171,0.14140496990044735,0.11125435234524568,0.14851332510754997,0.13446405498117592,0.1752480908596356,0.10748675417770366,0.3500731646529257,0.2538547870204119,0.19025223179445355,22.17144799232483,2548,450
54,0.3204945654118526,0.2638126013079295,0.14179785821832455,0.270762183345718,0.1339918807320717,0.2597161160736549,0.15081039110834643,0.4238118387329004,0.26066121397175235,0.28056447595563133,11.765681982040405,1232,658
56,0.24508335369027623,0.19239480999660574,0.11646330331463509,0.20893381939321343,0.12268028255445339,0.18308259014609374,0.11249247463549383,0.30554892292691166,0.21470167007990607,0.1766956317823981,21.681257009506226,2364,1442
57,0.19804508959878947,0.1299193322952108,0.12757892740584162,0.15598257990432499,0.14767300635044786,0.1208197245090876,0.11683735261549769,0.30149602056030705,0.18340560085083937,0.19989459236462637,23.028181791305542,2602,370
62,0.13396094359322977,0.06995141499845142,0.10633140023723668,0.09348656596954573,0.13101915897145358,0.08435119586912068,0.08180509626188061,0.316119830340598,0.19505149608619057,0.21763352210888626,25.184439182281494,2813,90
63,0.18926658015900516,0.1268104052704605,0.1174817707540383,0.1551513600852487,0.12558902556390142,0.11495630968340093,0.12288947743418678,0.3751816996319412,0.24233652604922692,0.23750821412838868,14.139761924743652,1489,1020
64,0.15274365311753263,0.10614010449498892,0.09701489111757837,0.19886370655149221,0.10006022051675245,0.11219975408166646,0.09396956171840429,0.19735226583953455,0.1265792322829366,0.12110932100292607,24.79867386817932,2758,45
Session Time Stamp: 2017-12-16 04:58:24
1,0.20300607104553142,0.10467042629487622,0.14368562389197004,0.143524341030508,0.14717191164819604,0.11981837500014111,0.14190966441717923,0.2221350856479319,0.16302007304985663,0.12876711599175017,86.74302887916565,4740,117
12,0.19528059908730544,0.1269679278575221,0.12832497174959237,0.15163993959937563,0.13563141262570594,0.12114036635462962,0.12195610002984279,0.2623173716191068,0.17057529779965397,0.1629973682498488,55.09086585044861,2844,398
13,0.14394250815330645,0.09731878146815759,0.090516625794594,0.13241356721100134,0.10067837563259766,0.08965623187713134,0.0811913879827047,0.23229128987070263,0.167742531690269,0.1372791331334032,52.51059007644653,2941,156
14,0.19541341027918235,0.13690137607652045,0.11533025653943241,0.18724925836962544,0.1319210555237384,0.10902938213505463,0.10317561285475078,0.29909605020455843,0.19491593838390858,0.1857876051527347,64.1736900806427,3599,499
17,0.19634573397348803,0.12917440626017937,0.1260258164971841,0.15711616017806415,0.1326279730862266,0.11621186390913463,0.12053345958442845,0.25769915771607566,0.18579962053786728,0.14410121052645047,55.45527219772339,2935,718
18,0.16308872079346307,0.10912272186755244,0.10214800717232665,0.13075906277370097,0.11707044434872692,0.09888605840170561,0.08828717497969742,0.23579402350443968,0.15906317166909945,0.13717192929337704,67.50319504737854,3621,134
19,0.16446135198388975,0.1121950363316375,0.09932249955348835,0.1405492702802635,0.1068158937391118,0.10110534752189851,0.09386222128908146,0.2581205393402209,0.1812864771289125,0.14811297279827712,42.9890878200531,2261,681
20,0.16164309692578235,0.1081044492964089,0.101044654412177,0.13686695787668146,0.10741518820595931,0.09726903937891353,0.0961770148658492,0.2625300778008841,0.19468727219439932,0.14069170789716484,46.17779612541199,2426,721
23,0.15716713517177208,0.061709874050898686,0.13655283527785084,0.0783668558837639,0.1474763156665075,0.07240251907043987,0.12562935488919416,0.26664233804840626,0.18218557431259091,0.1565564353100921,72.86882495880127,3737,72
25,0.146459541590247,0.08029144320447566,0.11213259393609744,0.10096741530854823,0.12101530651877618,0.08458608641462811,0.10363516880799148,0.2611259587632691,0.19328839511184367,0.13538091805208433,59.70417809486389,3103,59
33,0.16432944057523433,0.1199828791131656,0.09011152517726465,0.1427541580652037,0.09689318146105975,0.11062444563234045,0.08509388854426722,0.3193254378037978,0.18943942241123665,0.22372084395253972,11.580454111099243,525,248
34,0.16370190195326967,0.12011062452015844,0.08601165993919445,0.15804120591162024,0.08999328593396254,0.09452517672970488,0.08225994959876344,0.35204503698347567,0.249751708557544,0.21225162930800592,66.85845398902893,3488,74
37,0.14013191881820866,0.09489278036879895,0.0858322294895669,0.12217797784636554,0.09054682608247314,0.08591256979597758,0.08209697470136973,0.26620861718723476,0.17884022668302657,0.15812314566231178,48.42279410362244,2468,438
38,0.15414464623790802,0.15057248063385487,0.025153676469926722,0.14145053550601006,0.03159017479629256,0.15969442576169968,0.033138033002614975,0.37110940114912294,0.2102949766483572,0.25365397750898,1.8486440181732178,37,8
41,0.16122238406280648,0.10986771096560088,0.09413326192308556,0.13935977159575982,0.10134611903266473,0.09516692440618169,0.08925058912147175,0.22458187659113343,0.15320147227545577,0.13525244774285602,56.60479807853699,2952,275
45,0.18908121307989256,0.12469912628386642,0.11924113061304882,0.1526859461934654,0.12592097896581086,0.11045735929751092,0.11357066655374917,0.2709152178706188,0.18259676497521246,0.16488272231462353,58.06809687614441,3024,1118
48,0.25787570764486456,0.18700510275084525,0.13919389873626642,0.1757731984835118,0.14143555884948,0.20128847192972898,0.15340095525607467,0.3534777800954537,0.25486706807329834,0.20602495738292215,2.6823060512542725,92,16
50,0.1534138863751791,0.10455629513444943,0.09048517361347286,0.1377240106103226,0.09733578384884707,0.08842144091317368,0.08504367731606384,0.2840453504642483,0.20056944064728557,0.16681006705960597,49.566555976867676,2490,393
51,0.14099988430614616,0.10069945001893717,0.08272862917055254,0.13291128493197588,0.0697432609355968,0.09048522341510525,0.09776180062604987,0.28872601863829267,0.17092096697337528,0.2009211139049795,53.73758387565613,2942,230
52,0.18050121051266535,0.12128726116692026,0.11130098196445033,0.1477905383043819,0.11964095385279507,0.10991243018458287,0.10501138568338421,0.35273556243592735,0.25672912722952024,0.1907272687307329,47.08261704444885,2548,450
54,0.16425122230573166,0.11494889177415961,0.0960960501715071,0.14116031423460204,0.10395800277355798,0.10475717344544941,0.08997770291286036,0.42374190799741135,0.260938098184281,0.280077990688384,23.38335108757019,1232,658
56,0.19015313163021352,0.1258209986552782,0.12089857177693596,0.15337566033925412,0.13001344972254578,0.11210761320791446,0.11344807752215623,0.3056049908392731,0.2147498448853741,0.17674253642260554,43.821396827697754,2364,1442
57,0.19309374339670715,0.1292707181158098,0.11971706283794767,0.1601801464183105,0.13606048808181406,0.1291396973805653,0.10993989097910958,0.3022318853839314,0.18458140346206528,0.19971357891424188,48.426684856414795,2602,370
62,0.15884272151894002,0.08793842405494716,0.12356457975434346,0.09561063270601962,0.1685173038031078,0.10570224788453844,0.07911495467027028,0.31518697053035216,0.19316355447940248,0.21779624677257448,52.63104605674744,2813,90
63,0.19067053126752423,0.12733484365904302,0.11765534907109196,0.1555957996633415,0.12450310380207193,0.11621714488000554,0.11233992366686317,0.3765088275067224,0.24391355003364193,0.23775584041123204,27.820044994354248,1489,1020
64,0.14383632425574303,0.09848327918185128,0.09594818564235336,0.1330080434679985,0.12106054465596874,0.08050849023792479,0.07146446092261208,0.19903006243290405,0.12224815317362919,0.126831909507674,51.44188117980957,2758,45
Session Time Stamp: 2017-12-16 05:34:51
